Date,Ticker,Close,High,Low,Open,Volume,Daily Return
2024-01-02,QQQ,399.6157531738281,403.08989597129226,397.2831083799637,402.84174291433055,58026900,
2024-01-03,QQQ,395.38720703125,398.0374949521076,394.9504855289812,396.9753926206551,47002800,-0.010581530154890495
2024-01-04,QQQ,393.3523254394531,396.6378690976807,393.1339495637348,393.5111470119863,39432800,-0.0051465539491671874
2024-01-05,QQQ,393.8188781738281,396.60811594622027,392.4192913800464,393.5211066398828,44867900,0.0011860937490424384
2024-01-08,QQQ,401.95831298828125,402.24614870913854,394.9008246615034,395.04971042955367,42473800,0.020667965060985338
2024-01-09,QQQ,402.75244140625,403.68549939319814,398.7422792256723,398.94081380285746,39132900,0.0019756486986546307
2024-01-10,QQQ,405.4820556640625,406.49450913289587,402.1766705951372,403.07001545494523,33962800,0.006777399655931937
2024-01-11,QQQ,406.3258056640625,408.16214427231046,401.2535416258896,406.7625574506335,54536200,0.0020808565711205596
2024-01-12,QQQ,406.53424072265625,408.21175772488306,405.1346539182594,407.3680313161463,39581400,0.0005129751930303961
2024-01-16,QQQ,406.4945373535156,408.08272293238775,403.8244081113927,405.2934850729705,43903000,-9.766303834590762e-05
2024-01-17,QQQ,404.20159912109375,404.5787965978987,399.943314660414,403.169304259661,54386000,-0.005640760260519295
2024-01-18,QQQ,409.93890380859375,410.5245413730023,406.13721240162965,407.4871504567842,59562500,0.014194166227880611
2024-01-19,QQQ,418.0683898925781,418.22721147612486,411.56679224301826,412.1524297930296,70268500,0.019830969952976618
2024-01-22,QQQ,418.61431884765625,421.5921551975187,418.0088097046163,420.2818999334709,44880600,0.001305836481008349
2024-01-23,QQQ,420.3514099121094,420.5697857997683,417.4629048812153,419.3091489651431,33003800,0.004149621707243423
2024-01-24,QQQ,422.6840515136719,426.674372055235,422.187745399915,424.28217295187216,46948000,0.0055492655586673045
2024-01-25,QQQ,423.2001953125,425.870324413701,420.84770936873315,425.19532513112364,44367200,0.0012211101814221248
2024-01-26,QQQ,420.6789855957031,423.06124888261235,420.0238578906819,421.3043361455925,37137000,-0.005957487129549133
2024-01-29,QQQ,424.9869689941406,425.185503579776,420.48050047091476,421.1356282529619,38694700,0.010240548128015448
2024-01-30,QQQ,422.157958984375,424.5203808807755,421.2447727186817,423.9446791299793,36739000,-0.006656698242916259
2024-01-31,QQQ,413.8895263671875,419.74593251687764,413.7108634343373,417.7408666999412,64010600,-0.019586110936009926
2024-02-01,QQQ,418.7632751464844,419.2595812883965,414.72333588121046,415.6961068245224,51008600,0.011775482269568371
